Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct
41,0.1,Early,Drone 2,Success,2.24,1628.5579,4.0055,3243.33,24.1,0,97.7
41,0.1,Early,Drone 3,Success,1.8145,1559.5756,4.0203,3259.44,23.85,0,97.7
41,0.1,Early,Drone 4,Success,2.094,2043.9764,3.7945,3307.55,32.1,0,97.7
69,0.1,Normal,Drone 0,Success,1.0004,1564.797,4.0073,3328.09,32.55,0,98.26
69,0.1,Normal,Drone 1,Success,1.371,1456.8505,3.4526,2443.98,23.95,0,98.26
69,0.1,Normal,Drone 2,Success,1.1414,1631.8774,4.0044,3353.54,32.95,0,98.26
69,0.1,Normal,Drone 3,Success,1.4457,1947.8106,3.9532,3719.58,36.15,0,98.26
69,0.1,Normal,Drone 4,Success,1.1115,1915.9874,4.0056,3725.77,36.35,0,98.26
69,0.1,Early,Drone 0,Success,1.6149,1563.6277,4.0214,3293.26,28.1,0,98.12
69,0.1,Early,Drone 1,Success,1.8648,1461.9606,3.4614,3234.61,19.75,0,98.12
69,0.1,Early,Drone 2,Success,1.7878,1728.1197,4.0182,3278.0,28.4,0,98.12
69,0.1,Early,Drone 3,Success,1.8976,1955.1374,3.9676,3337.43,32.1,0,98.12
69,0.1,Early,Drone 4,Success,1.7371,1805.2056,4.0168,3324.04,32.2,0,98.12
55,0.1,Normal,Drone 0,Stuck,1.4767,406.3306,8.4627,3397.73,34.7,0,80.9
55,0.1,Normal,Drone 1,Success,1.2099,1627.1056,3.6824,2925.29,28.6,0,80.9
55,0.1,Normal,Drone 2,Success,1.1205,1423.6307,4.0057,3047.72,29.65,0,80.9
55,0.1,Normal,Drone 3,Success,1.5533,2069.5069,3.9651,3532.27,34.6,0,80.9
55,0.1,Normal,Drone 4,Success,1.7501,1535.6935,3.8085,2595.24,25.35,0,80.9
55,0.1,Early,Drone 0,Success,2.0575,1822.3848,4.0116,3325.33,32.4,0,97.31
55,0.1,Early,Drone 1,Success,1.76,1676.9237,3.6903,3284.41,23.75,0,97.31
55,0.1,Early,Drone 2,Success,1.645,1329.227,4.0182,3311.09,26.15,0,97.31
55,0.1,Early,Drone 3,Success,2.2082,2125.1023,3.9718,3309.88,29.4,0,97.31
55,0.1,Early,Drone 4,Success,2.3599,1538.3684,3.8132,3265.8,21.75,0,97.31
99,0.1,Normal,Drone 0,Success,1.4852,2000.9248,3.7687,3263.55,31.95,0,96.79
99,0.1,Normal,Drone 1,Success,1.7032,1622.1431,3.8261,2793.34,27.35,0,96.79
99,0.1,Normal,Drone 2,Success,1.4357,2079.73,3.7853,3520.58,34.45,0,96.79
99,0.1,Normal,Drone 3,Success,1.2072,1299.87,4.0036,2615.9,25.6,0,96.79
99,0.1,Normal,Drone 4,Success,1.5095,1819.6748,3.9968,2914.79,28.5,0,96.79
99,0.1,Early,Drone 0,Success,2.1717,2003.3506,3.7758,3010.55,27.1,0,96.46
99,0.1,Early,Drone 1,Success,2.4661,1673.3114,3.8308,2978.62,23.05,0,96.46
99,0.1,Early,Drone 2,Success,2.0462,1967.1365,3.7934,3027.99,29.4,0,96.46
99,0.1,Early,Drone 3,Success,1.8389,1241.9611,4.0132,2979.32,22.1,0,96.46
99,0.1,Early,Drone 4,Success,2.1656,1922.0638,4.0054,2993.09,23.95,0,96.46
1,0.1,Normal,Drone 0,Success,1.3851,1913.7584,3.8361,3593.04,34.9,0,97.67
1,0.1,Normal,Drone 1,Success,2.4898,1292.2925,3.803,2262.41,22.05,0,97.67
1,0.1,Normal,Drone 2,Success,1.4777,1595.8842,4.0013,2676.97,26.0,0,97.67
1,0.1,Normal,Drone 3,Success,1.5946,2153.5887,3.883,3293.85,32.3,0,97.67
1,0.1,Normal,Drone 4,Success,1.2539,2044.7399,3.7379,3703.56,36.2,0,97.67
1,0.1,Early,Drone 0,Success,1.9947,1865.2743,3.8445,3226.4,31.15,0,97.32
1,0.1,Early,Drone 1,Success,2.2871,1269.5996,3.8095,3135.62,18.7,0,97.32
1,0.1,Early,Drone 2,Success,2.3212,1557.1379,4.0055,3165.41,22.35,0,97.32
1,0.1,Early,Drone 3,Success,2.36,2208.4832,3.888,3168.93,26.75,0,97.32
1,0.1,Early,Drone 4,Success,1.8591,1947.9766,3.7429,3211.63,31.15,0,97.32
7,0.1,Normal,Drone 0,Success,1.3583,1441.11,3.6284,2739.89,26.75,0,97.52
7,0.1,Normal,Drone 1,Success,1.858,1911.219,3.9181,3708.06,36.35,0,97.52
7,0.1,Normal,Drone 2,Success,1.3348,1961.534,3.9661,3512.34,34.25,0,97.52
7,0.1,Normal,Drone 3,Success,1.1606,1886.5967,4.006,3559.94,34.85,0,97.52
7,0.1,Normal,Drone 4,Success,0.9911,1152.8661,4.0082,2478.62,24.1,0,97.52
7,0.1,Early,Drone 0,Success,1.9077,1368.459,3.6352,3197.03,23.4,0,97.64
7,0.1,Early,Drone 1,Success,2.3757,1781.1483,3.9255,3238.43,31.55,0,97.64
7,0.1,Early,Drone 2,Success,1.9373,1900.6194,3.9799,3245.54,29.05,0,97.64
7,0.1,Early,Drone 3,Success,1.7955,1660.0449,4.0169,3239.06,30.5,0,97.64
7,0.1,Early,Drone 4,Success,1.6905,1169.1838,4.024,3196.76,20.85,0,97.64
77,0.1,Normal,Drone 0,Success,1.3635,1369.708,4.0003,2433.46,23.8,0,94.99
77,0.1,Normal,Drone 1,Success,1.4373,1743.7275,3.9776,3323.87,32.65,0,94.99
77,0.1,Normal,Drone 2,Success,1.2451,1673.3947,4.0056,3630.96,35.6,0,94.99
77,0.1,Normal,Drone 3,Success,1.5676,1290.2345,3.5336,2082.91,20.5,0,94.99
77,0.1,Normal,Drone 4,Success,1.659,2384.561,3.8688,3376.21,32.9,0,94.99
77,0.1,Early,Drone 0,Success,2.1153,1355.1503,4.0066,3078.43,20.6,0,94.69
77,0.1,Early,Drone 1,Success,2.0383,1729.2251,3.9851,3114.2,28.2,0,94.69
77,0.1,Early,Drone 2,Success,1.9252,1522.8933,4.0136,3139.16,30.55,0,94.69
77,0.1,Early,Drone 3,Success,2.3394,1244.5687,3.5275,3047.25,16.4,0,94.69
77,0.1,Early,Drone 4,Success,2.3745,2407.1814,3.8734,3134.15,27.85,0,94.69
11,0.1,Normal,Drone 0,Success,1.3266,1403.7729,4.004,2550.95,24.95,0,99.09
11,0.1,Normal,Drone 1,Success,1.4471,1983.6807,3.9951,3485.66,34.0,0,99.09
11,0.1,Normal,Drone 2,Success,1.2776,1952.7042,4.0016,3472.8,33.8,0,99.09
11,0.1,Normal,Drone 3,Success,1.4189,1805.6252,3.7234,3192.24,31.2,0,99.09
11,0.1,Normal,Drone 4,Success,1.8869,1855.9081,3.7475,3602.24,35.1,0,99.09
11,0.1,Early,Drone 0,Success,2.2617,1497.6373,4.0133,3101.89,20.75,0,98.68
11,0.1,Early,Drone 1,Success,2.1151,1973.3983,4.0029,3161.3,29.7,0,98.68
11,0.1,Early,Drone 2,Success,2.4049,1943.1306,4.0133,3182.71,29.0,0,98.68
11,0.1,Early,Drone 3,Success,1.9855,1814.8597,3.7277,3138.52,26.75,0,98.68
11,0.1,Early,Drone 4,Success,2.0609,1888.3901,3.7552,3177.85,30.75,0,98.68
62,0.1,Normal,Drone 0,Success,1.4944,2114.6614,3.7666,3562.08,34.85,0,97.7
62,0.1,Normal,Drone 1,Success,1.7413,1593.3594,3.8427,2602.13,25.5,0,97.7
62,0.1,Normal,Drone 2,Success,1.034,1178.3925,4.0065,2798.61,27.2,0,97.7
62,0.1,Normal,Drone 3,Success,1.4402,1852.5165,3.7811,3459.04,33.9,0,97.7
62,0.1,Normal,Drone 4,Success,1.5035,1872.1405,3.9481,3604.77,35.0,0,97.7
62,0.1,Early,Drone 0,Success,2.2098,2100.9763,3.776,3186.28,29.15,0,97.12
62,0.1,Early,Drone 1,Success,2.497,1563.8357,3.8475,3134.15,21.45,0,97.12
62,0.1,Early,Drone 2,Success,1.7518,1243.7845,4.0157,3177.03,23.75,0,97.12
62,0.1,Early,Drone 3,Success,2.5282,1991.7646,3.7912,3178.84,28.9,0,97.12
62,0.1,Early,Drone 4,Success,2.5023,1818.3606,3.9555,3227.6,31.1,0,97.12
