Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct
25,0.3,Normal,Drone 2,Success,1.1686,2183.634,4.0057,3996.16,39.2,0,99.44
25,0.3,Normal,Drone 3,Success,1.5911,1510.7877,3.8957,2733.05,26.8,0,99.44
25,0.3,Normal,Drone 4,Success,1.3046,2575.8721,4.0045,3880.02,38.0,0,99.44
25,0.3,Early,Drone 0,Success,2.3307,1966.6126,3.7757,3578.3,28.4,0,99.33
25,0.3,Early,Drone 1,Success,2.2506,1763.0701,3.7347,3633.79,35.2,0,99.33
25,0.3,Early,Drone 2,Success,1.804,2147.2873,4.0146,3606.27,33.8,0,99.33
25,0.3,Early,Drone 3,Success,2.2017,1563.1624,3.9042,3536.1,22.7,0,99.33
25,0.3,Early,Drone 4,Success,2.257,2547.0484,4.0127,3596.71,32.05,0,99.33
33,0.3,Normal,Drone 0,Success,1.3268,1479.5391,4.0037,2931.53,28.7,0,99.56
33,0.3,Normal,Drone 1,Success,1.2852,1350.1444,4.0034,2584.15,25.15,0,99.56
33,0.3,Normal,Drone 2,Success,1.5508,2901.3618,3.9694,4594.53,45.0,0,99.56
33,0.3,Normal,Drone 3,Success,1.4398,1898.5596,3.6907,3541.89,34.8,0,99.56
33,0.3,Normal,Drone 4,Success,1.3173,2142.9367,3.8336,4297.89,42.2,0,99.56
33,0.3,Early,Drone 0,Success,2.0224,1398.2132,4.0126,3817.49,24.2,0,99.43
33,0.3,Early,Drone 1,Success,2.102,1303.7398,4.0133,3809.21,21.5,0,99.43
33,0.3,Early,Drone 2,Success,2.277,2817.7385,3.977,3903.37,37.95,0,99.43
33,0.3,Early,Drone 3,Success,2.2092,1796.9884,3.6538,3841.6,29.4,0,99.43
33,0.3,Early,Drone 4,Success,1.9107,2083.0945,3.8427,3877.13,36.3,0,99.43
41,0.3,Normal,Drone 0,Success,1.2291,1830.4988,4.0053,3442.72,33.6,0,99.84
41,0.3,Normal,Drone 1,Success,1.2802,2073.3231,4.0034,3733.14,36.55,0,99.84
41,0.3,Normal,Drone 2,Success,1.239,2398.0703,3.9395,4375.13,42.8,0,99.84
41,0.3,Normal,Drone 3,Success,1.1897,1514.5156,3.573,2735.44,26.7,0,99.84
