Map_Seed,Overlap_Factor,Algorithm,Drone_ID,Final_State,Speed_m_s,Jerk_m2_s5,Miss_Distance_m,Energy_Joules,Flight_Time_s,Collisions,Coverage_pct, Solve_Time
79,0.3,Normal,Drone 2,Success,1.7388,6751.5551,0.2493,3695.84,36.25,0,99.77,0.018973
79,0.3,Normal,Drone 3,Success,1.1538,3460.404,0.2529,4007.91,39.4,0,99.77,0.018973
79,0.3,Normal,Drone 4,Success,1.374,8644.1368,0.1698,4464.79,43.7,0,99.77,0.018973
79,0.3,Early,Drone 0,Success,1.8677,7478.599,0.2951,3984.7,27.9,0,99.77,0.022426
79,0.3,Early,Drone 1,Success,2.1393,4962.0958,0.3203,3972.74,29.65,0,99.77,0.022426
79,0.3,Early,Drone 2,Success,1.7969,5632.1744,0.4832,3996.26,30.0,0,99.77,0.022426
79,0.3,Early,Drone 3,Success,1.8285,4310.9046,0.4191,4005.0,34.05,0,99.77,0.022426
79,0.3,Early,Drone 4,Success,2.0402,7013.1054,0.2575,4027.07,39.4,0,99.77,0.022426
32,0.3,Normal,Drone 0,Success,1.0207,22376.1855,0.27,4801.47,47.1,0,99.37,0.025155
32,0.3,Normal,Drone 1,Success,1.4165,6770.8081,0.2492,3397.94,33.4,0,99.37,0.025155
32,0.3,Normal,Drone 2,Success,0.9832,7142.5489,0.2467,3850.7,37.5,0,99.37,0.025155
32,0.3,Normal,Drone 3,Success,1.3035,7470.5829,0.1974,4130.63,40.5,0,99.37,0.025155
32,0.3,Normal,Drone 4,Success,1.2989,7500.0724,0.2721,4628.11,45.05,0,99.37,0.025155
32,0.3,Early,Drone 0,Success,1.6546,9437.9382,0.4124,4282.4,35.95,0,99.15,0.020082
32,0.3,Early,Drone 1,Success,1.9182,6058.9662,0.4016,4231.1,29.85,0,99.15,0.020082
32,0.3,Early,Drone 2,Success,1.5871,10735.9466,0.3568,4283.25,33.65,0,99.15,0.020082
32,0.3,Early,Drone 3,Success,1.9567,6739.1056,0.3407,4286.11,35.4,0,99.15,0.020082
32,0.3,Early,Drone 4,Success,1.5753,8231.178,0.4259,4342.27,42.1,0,99.15,0.020082
25,0.3,Normal,Drone 0,Success,1.3783,3543.1344,0.2249,3475.2,33.95,0,99.44,0.017031
25,0.3,Normal,Drone 1,Success,1.3853,11903.9415,0.2595,4401.72,43.05,0,99.44,0.017031
25,0.3,Normal,Drone 2,Success,1.2192,8045.5358,0.214,4298.16,42.1,0,99.44,0.017031
25,0.3,Normal,Drone 3,Success,1.3465,4030.2612,0.1779,2913.4,28.6,0,99.44,0.017031
25,0.3,Normal,Drone 4,Success,1.2901,9503.7326,0.2228,4187.86,41.05,0,99.44,0.017031
25,0.3,Early,Drone 0,Success,2.2696,4278.0557,0.3528,3823.8,30.05,0,99.24,0.018996
25,0.3,Early,Drone 1,Success,2.1108,9649.9356,0.3417,3887.45,37.65,0,99.24,0.018996
25,0.3,Early,Drone 2,Success,1.8083,10129.2431,0.4137,3856.94,37.55,0,99.24,0.018996
25,0.3,Early,Drone 3,Success,2.0095,3753.4778,0.3209,3782.45,25.55,0,99.24,0.018996
25,0.3,Early,Drone 4,Success,2.2129,10569.7566,0.3808,3840.73,36.8,0,99.24,0.018996
33,0.3,Normal,Drone 0,Success,1.3606,3754.459,0.1967,2990.76,29.3,0,99.54,0.015455
33,0.3,Normal,Drone 1,Success,1.2929,1965.2028,0.2485,2674.44,26.1,0,99.54,0.015455
33,0.3,Normal,Drone 2,Success,1.3891,8234.774,0.193,4824.4,47.3,0,99.54,0.015455
33,0.3,Normal,Drone 3,Success,1.3441,6441.1411,0.2439,3698.25,36.3,0,99.54,0.015455
33,0.3,Normal,Drone 4,Success,1.2866,7999.6941,0.2401,4400.23,43.15,0,99.54,0.015455
33,0.3,Early,Drone 0,Success,2.0377,5597.2305,0.3233,4176.21,26.45,0,99.42,0.017654
33,0.3,Early,Drone 1,Success,2.2091,2498.2291,0.3549,4157.52,22.6,0,99.42,0.017654
33,0.3,Early,Drone 2,Success,2.1147,9015.2259,0.3058,4261.49,41.6,0,99.42,0.017654
33,0.3,Early,Drone 3,Success,1.9599,5771.1425,0.3722,4202.28,31.3,0,99.42,0.017654
33,0.3,Early,Drone 4,Success,1.9204,6325.8985,0.3683,4238.86,37.95,0,99.42,0.017654
41,0.3,Normal,Drone 0,Success,1.2142,4009.3233,0.2575,3474.59,33.9,0,99.84,0.019916
41,0.3,Normal,Drone 1,Success,1.217,6107.243,0.2214,3928.73,38.5,0,99.84,0.019916
41,0.3,Normal,Drone 2,Success,0.9926,11894.5435,0.2767,4759.37,46.5,0,99.84,0.019916
41,0.3,Normal,Drone 3,Success,1.2429,3925.0877,0.2817,2833.68,27.7,0,99.84,0.019916
41,0.3,Normal,Drone 4,Success,1.1898,9253.981,0.2547,4361.75,42.7,0,99.84,0.019916
41,0.3,Early,Drone 0,Success,1.8284,4826.4331,0.3697,4083.13,30.95,0,99.68,0.023626
41,0.3,Early,Drone 1,Success,1.9341,7126.0102,0.3484,4085.54,33.7,0,99.68,0.023626
41,0.3,Early,Drone 2,Success,1.7347,10391.4165,0.4618,4148.14,40.25,0,99.68,0.023626
41,0.3,Early,Drone 3,Success,1.9297,3207.2301,0.4965,4032.57,24.15,0,99.68,0.023626
41,0.3,Early,Drone 4,Success,1.9448,8617.1964,0.41,4096.7,37.1,0,99.68,0.023626
69,0.3,Normal,Drone 0,Success,1.328,6872.4427,0.1888,3470.04,34.0,0,99.44,0.034415
69,0.3,Normal,Drone 1,Success,1.3159,5067.7363,0.2201,4146.49,40.55,0,99.44,0.034415
69,0.3,Normal,Drone 2,Success,1.0417,9311.1146,0.2425,3704.42,36.15,0,99.44,0.034415
69,0.3,Normal,Drone 3,Success,1.2318,8827.7785,0.2421,4754.48,46.75,0,99.44,0.034415
69,0.3,Normal,Drone 4,Stuck,1.3216,64239.7609,0.2327,10107.2,100.05,0,99.44,0.034415
69,0.3,Early,Drone 0,Success,2.0734,6263.8101,0.3076,9807.25,29.5,0,99.29,0.044031
69,0.3,Early,Drone 1,Success,2.0926,5378.0107,0.3213,9863.51,35.7,0,99.29,0.044031
69,0.3,Early,Drone 2,Success,1.508,8048.5512,0.4994,9840.08,31.95,0,99.29,0.044031
69,0.3,Early,Drone 3,Success,2.2524,7245.4342,0.3404,9864.6,40.15,0,99.29,0.044031
69,0.3,Early,Drone 4,Stuck,1.993,72481.5253,0.3448,10102.32,100.05,0,99.29,0.044031
55,0.3,Normal,Drone 0,Success,1.033,5911.6746,0.2357,3535.57,34.65,0,99.08,0.017299
55,0.3,Normal,Drone 1,Success,1.2111,5554.216,0.2262,3202.07,31.3,0,99.08,0.017299
55,0.3,Normal,Drone 2,Success,1.1529,10386.4165,0.2057,4704.92,46.25,0,99.08,0.017299
55,0.3,Normal,Drone 3,Success,0.9867,4433.6767,0.2981,3894.84,38.05,0,99.08,0.017299
55,0.3,Normal,Drone 4,Success,1.5321,5191.4639,0.1854,3537.57,34.75,0,99.08,0.017299
55,0.3,Early,Drone 0,Success,1.618,6295.2739,0.3898,3857.73,31.6,0,98.67,0.016572
55,0.3,Early,Drone 1,Success,1.9427,5283.3923,0.3693,3835.98,27.45,0,98.67,0.016572
55,0.3,Early,Drone 2,Success,1.8327,9781.6867,0.3487,3895.45,38.0,0,98.67,0.016572
55,0.3,Early,Drone 3,Success,1.9209,3633.0522,0.4211,3888.75,34.25,0,98.67,0.016572
55,0.3,Early,Drone 4,Success,2.2592,5726.4165,0.3432,3834.2,30.6,0,98.67,0.016572
